,Type,Name
10,Protein,"Troponin I, cardiac muscle"
110,Protein,Protein kinase C and casein kinase substrate in neurons protein 3
13633,MeSH,"cardiomyopathy, hypertrophic, familial"
13634,MeSH,"cardiomyopathy, restrictive"
13691,MeSH,ventricular flutter
13703,MeSH,myocardial bridging
13756,MeSH,acute coronary syndrome
13757,MeSH,angina pectoris
13758,MeSH,"angina, unstable"
13759,MeSH,"angina pectoris, variant"
13765,MeSH,coronary occlusion
13768,MeSH,coronary thrombosis
13769,MeSH,coronary vasospasm
13771,MeSH,kounis syndrome
13772,MeSH,myocardial infarction
13773,MeSH,anterior wall myocardial infarction
13774,MeSH,inferior wall myocardial infarction
13775,MeSH,non-st elevated myocardial infarction
13777,MeSH,st elevation myocardial infarction
13801,MeSH,pericarditis
